Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_10,Pos_Rel_To_MA_20,5_Period_Trend,10_Period_Trend,CandleStick_Pattern,Class_10_pips
2017.01.12,23:00,1.0623,1.0625,1.06112,1.06119,1329,BELOW,BELOW,DOWNTREND,RANGING,NONE,RANGING
2017.01.13,0:00,1.06115,1.06185,1.06109,1.06116,1819,BELOW,BELOW,DOWNTREND,RANGING,NONE,RANGING
2017.01.13,1:00,1.06118,1.06165,1.06063,1.06162,3257,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.13,2:00,1.0616,1.06181,1.06048,1.06094,3647,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.13,3:00,1.06096,1.06197,1.06082,1.06161,3612,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.13,4:00,1.06163,1.0619,1.06037,1.06053,3216,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.13,5:00,1.06054,1.06121,1.0604,1.06079,2277,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.13,6:00,1.06078,1.06174,1.06054,1.06174,1773,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.13,7:00,1.06174,1.06174,1.06125,1.06171,1554,ABOVE,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.13,8:00,1.06171,1.06301,1.06143,1.06293,3082,ABOVE,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.13,9:00,1.06293,1.06409,1.06241,1.06313,5072,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.13,10:00,1.06311,1.06435,1.06251,1.06342,6101,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.13,11:00,1.06344,1.0651,1.06276,1.06442,4304,ABOVE,ABOVE,UPTREND,RANGING,NONE,+10pips
2017.01.13,12:00,1.06441,1.06543,1.06405,1.06442,4125,ABOVE,ABOVE,RANGING,RANGING,BULLISH_ENGULFING,+10pips
2017.01.13,13:00,1.06442,1.06576,1.06435,1.06457,3458,ABOVE,ABOVE,RANGING,RANGING,BULLISH_ENGULFING,+10pips
2017.01.13,14:00,1.06459,1.06587,1.06432,1.0645,3860,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.13,15:00,1.06449,1.06744,1.06201,1.06452,10043,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.13,16:00,1.06455,1.06526,1.06011,1.06049,11465,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.13,17:00,1.06049,1.06296,1.05962,1.06229,9442,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.13,18:00,1.06234,1.06312,1.06119,1.06245,5682,BELOW,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.13,19:00,1.06244,1.06418,1.06221,1.06373,4241,ABOVE,ABOVE,RANGING,RANGING,BULLISH_ENGULFING,RANGING
2017.01.13,20:00,1.06373,1.06442,1.06295,1.06321,2939,BELOW,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.13,21:00,1.06322,1.0653,1.063,1.06438,2842,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.13,22:00,1.06438,1.06476,1.06357,1.0637,2540,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.13,23:00,1.06366,1.06448,1.06366,1.06393,1629,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.16,0:00,1.06036,1.06287,1.06031,1.06225,1583,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.16,1:00,1.06225,1.06359,1.06214,1.06273,3309,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,2:00,1.06274,1.06346,1.06242,1.06289,2481,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.16,3:00,1.06291,1.06305,1.06162,1.06207,2693,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,4:00,1.06206,1.06276,1.06109,1.06218,3724,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.16,5:00,1.06216,1.06229,1.06063,1.06109,2340,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,6:00,1.06108,1.06153,1.0605,1.06151,2295,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,7:00,1.06149,1.06227,1.06113,1.06207,3139,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,8:00,1.06208,1.06296,1.06174,1.06182,2846,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.16,9:00,1.06175,1.06227,1.06044,1.06136,3858,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.16,10:00,1.06133,1.06175,1.05796,1.05832,7114,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.16,11:00,1.05832,1.0598,1.05805,1.059,6164,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,12:00,1.05899,1.05958,1.05833,1.0586,4299,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.16,13:00,1.05861,1.05982,1.05794,1.05942,4164,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,14:00,1.0594,1.05986,1.05855,1.05907,3346,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.16,15:00,1.05908,1.06012,1.05901,1.05927,2643,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.16,16:00,1.05927,1.06089,1.05897,1.06067,3244,ABOVE,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.16,17:00,1.06067,1.06085,1.05926,1.06062,3249,ABOVE,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.16,18:00,1.0606,1.06086,1.05909,1.06002,2547,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,19:00,1.06,1.06085,1.05976,1.06045,1142,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,20:00,1.06046,1.06054,1.05972,1.05993,1503,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,21:00,1.0599,1.06051,1.05978,1.06026,2404,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,22:00,1.06026,1.06052,1.05961,1.05991,3936,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.16,23:00,1.0599,1.06036,1.05978,1.06004,6457,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.17,0:00,1.05948,1.06037,1.05948,1.05985,909,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.17,1:00,1.05985,1.0607,1.05977,1.06022,1780,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,2:00,1.06021,1.06188,1.06021,1.06061,3271,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.17,3:00,1.06063,1.06109,1.06009,1.06027,2706,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,4:00,1.06026,1.06214,1.06024,1.06204,2656,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.17,5:00,1.06204,1.06302,1.06146,1.06246,2526,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,6:00,1.06246,1.06436,1.06227,1.06401,3448,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,7:00,1.06402,1.0659,1.06402,1.06575,4237,ABOVE,ABOVE,UPTREND,RANGING,NONE,-10pips
2017.01.17,8:00,1.06574,1.06657,1.06469,1.0655,4715,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.17,9:00,1.06549,1.06586,1.06404,1.06549,5807,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,10:00,1.06548,1.06716,1.06545,1.06629,6980,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,11:00,1.06629,1.06819,1.06551,1.06781,6422,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.17,12:00,1.06783,1.0682,1.06577,1.06797,6389,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,13:00,1.068,1.07195,1.06795,1.07094,10115,ABOVE,ABOVE,UPTREND,RANGING,NONE,-10pips
2017.01.17,14:00,1.07095,1.07125,1.06835,1.06835,11580,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,15:00,1.06837,1.06937,1.06675,1.06917,10481,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.17,16:00,1.06918,1.07169,1.06898,1.07155,10655,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.17,17:00,1.07156,1.07165,1.06909,1.06946,9116,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
