Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_20,Pos_Rel_To_MA_50,Pos_Rel_To_MA_100,Class_10_pips
2017.03.09,19:00,1.05842,1.05850,1.05793,1.05839,818,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,19:00,1.05841,1.05844,1.05802,1.05831,833,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,19:00,1.05833,1.05879,1.05791,1.05800,1075,BELOW,ABOVE,ABOVE,RANGING
2017.03.09,20:00,1.05800,1.05871,1.05783,1.05871,1281,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,20:00,1.05870,1.05903,1.05866,1.05871,1274,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,20:00,1.05872,1.05947,1.05871,1.05930,1146,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,20:00,1.05931,1.05969,1.05891,1.05909,1144,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,21:00,1.05910,1.05918,1.05855,1.05879,1186,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,21:00,1.05877,1.05948,1.05874,1.05878,1207,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,21:00,1.05879,1.05897,1.05858,1.05873,829,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,21:00,1.05872,1.05947,1.05837,1.05921,1095,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,22:00,1.05920,1.05955,1.05876,1.05892,1142,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,22:00,1.05892,1.05914,1.05886,1.05899,902,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,22:00,1.05898,1.05901,1.05852,1.05868,685,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,22:00,1.05867,1.05874,1.05822,1.05823,873,BELOW,ABOVE,ABOVE,RANGING
2017.03.09,23:00,1.05822,1.05853,1.05800,1.05812,477,BELOW,ABOVE,ABOVE,RANGING
2017.03.09,23:00,1.05813,1.05814,1.05727,1.05731,584,BELOW,BELOW,ABOVE,RANGING
2017.03.09,23:00,1.05731,1.05802,1.05730,1.05782,640,BELOW,ABOVE,ABOVE,RANGING
2017.03.09,23:00,1.05780,1.05782,1.05742,1.05770,840,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,00:00,1.05757,1.05784,1.05757,1.05784,158,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,00:00,1.05784,1.05823,1.05759,1.05768,554,BELOW,BELOW,ABOVE,RANGING
2017.03.10,00:00,1.05768,1.05778,1.05752,1.05753,302,BELOW,BELOW,ABOVE,RANGING
2017.03.10,00:00,1.05753,1.05783,1.05733,1.05750,635,BELOW,BELOW,ABOVE,RANGING
2017.03.10,01:00,1.05751,1.05768,1.05725,1.05764,700,BELOW,BELOW,ABOVE,RANGING
2017.03.10,01:00,1.05762,1.05785,1.05745,1.05759,508,BELOW,BELOW,ABOVE,RANGING
2017.03.10,01:00,1.05760,1.05767,1.05741,1.05764,321,BELOW,BELOW,ABOVE,RANGING
2017.03.10,01:00,1.05765,1.05795,1.05738,1.05795,460,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,02:00,1.05795,1.05875,1.05781,1.05870,1046,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,02:00,1.05870,1.05919,1.05848,1.05867,903,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,02:00,1.05868,1.05925,1.05864,1.05917,894,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,02:00,1.05917,1.05920,1.05868,1.05882,922,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,03:00,1.05882,1.05886,1.05839,1.05844,846,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,03:00,1.05843,1.05890,1.05840,1.05876,683,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,03:00,1.05877,1.05889,1.05856,1.05867,775,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,03:00,1.05871,1.05891,1.05869,1.05876,470,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,04:00,1.05875,1.05892,1.05874,1.05888,496,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,04:00,1.05888,1.05917,1.05887,1.05909,623,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,04:00,1.05910,1.05945,1.05892,1.05945,543,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,04:00,1.05944,1.05959,1.05915,1.05940,632,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,05:00,1.05941,1.05952,1.05928,1.05950,615,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,05:00,1.05950,1.05981,1.05941,1.05980,524,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,05:00,1.05980,1.06007,1.05956,1.05977,781,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,05:00,1.05977,1.05977,1.05946,1.05954,451,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,06:00,1.05954,1.05954,1.05933,1.05950,357,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,06:00,1.05949,1.05981,1.05946,1.05974,494,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,06:00,1.05973,1.05974,1.05943,1.05952,501,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,06:00,1.05951,1.05975,1.05933,1.05972,802,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,07:00,1.05974,1.06027,1.05971,1.05976,692,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,07:00,1.05977,1.06026,1.05973,1.06026,555,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,07:00,1.06026,1.06027,1.05986,1.05989,645,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,07:00,1.05989,1.06000,1.05953,1.05982,683,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,08:00,1.05983,1.06022,1.05967,1.06007,823,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,08:00,1.06007,1.06008,1.05950,1.05978,859,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,08:00,1.05979,1.05980,1.05925,1.05932,638,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,08:00,1.05931,1.05956,1.05901,1.05905,581,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,09:00,1.05905,1.05951,1.05882,1.05932,976,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,09:00,1.05935,1.05965,1.05922,1.05933,849,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,09:00,1.05934,1.05957,1.05898,1.05905,928,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,09:00,1.05904,1.05986,1.05903,1.05942,897,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,10:00,1.05942,1.06042,1.05926,1.05987,1362,ABOVE,ABOVE,ABOVE,+10pips
2017.03.10,10:00,1.05988,1.06159,1.05987,1.06149,1561,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,10:00,1.06146,1.06186,1.06073,1.06168,1513,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,10:00,1.06168,1.06183,1.06107,1.06107,1279,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,11:00,1.06107,1.06152,1.06095,1.06131,1078,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,11:00,1.06132,1.06146,1.06067,1.06139,1264,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,11:00,1.06138,1.06196,1.06099,1.06168,1373,ABOVE,ABOVE,ABOVE,RANGING
